,filename,ATTRIBUTE_Species,ATTRIBUTE_Sppart,FC,ATTRIBUTE_Family,F_Specificty,Reported_comp_Species,Reported_comp_Genus,Reported_comp_Family
228,PF200_Blank9DMSO_1H2O_1A1_pos_v7_IODA_D.mzML,,,0,,0,0,0,0
229,PF200_Blank9DMSO_1H2O_1A1_pos_v7_IODA_E.mzML,,,0,,0,0,0,0
230,PF200_V601298_1C4_pos_v7_IODA.mzML,Lythrum salicaria,Lythrum salicaria PLANTE ENTIERE,0,Lythraceae,0.043478261,42,89,89
231,PF200_V602609_1B11_pos_v7_IODA.mzML,Lespedeza capitata,Lespedeza capitata PARTIE AERIENNE,0,Leguminosae,0,10,10,0
232,PF200_V602956_2G10_pos_v7_IODA.mzML,Astragalus propinquus,Astragalus propinquus RACINE,0,Leguminosae,0.111111111,31,136,0
233,PF200_ID27743_1A7_pos_v7_IODA.mzML,Astragalus mongholicus,Astragalus mongholicus RACINE,0,Leguminosae,0.15,105,136,0
234,PF200_Blank9DMSO_1H2O_2A1_pos_v7_IODA_B.mzML,,,0,,0,0,0,0
235,PF200_ID24720_1B2_pos_v7_IODA.mzML,Rehmannia glutinosa,Rehmannia glutinosa RACINE,0,Plantaginaceae,0.333333333,416,416,728
236,PF200_ID24775_2H7_pos_v7_IODA.mzML,Cymbopogon citratus,Cymbopogon citratus PLANTE ENTIERE,0,Poaceae,0,93,93,335
237,PF200_QCMix_2A3_pos_v7_IODA_H.mzML,,,0,,0,0,0,0
238,PF200_V601153_1F8_pos_v7_IODA.mzML,Ocimum basilicum,Ocimum basilicum FEUILLE,0,Lamiaceae,0,249,249,1856
239,PF200_V602694_2D12_pos_v7_IODA.mzML,Melissa officinalis,Melissa officinalis FEUILLE,0,Lamiaceae,0,188,188,1856
240,PF200_QCMix_2A3_pos_v7_IODA_G.mzML,,,0,,0,0,0,0
241,PF200_QCMix_2A3_pos_v7_IODA_F.mzML,,,0,,0,0,0,0
242,PF200_QCMix_2A3_pos_v7_IODA_end.mzML,,,0,,0,0,0,0
243,PF200_QCMix_2A3_pos_v7_IODA_E.mzML,,,0,,0,0,0,0
