	annotation network number	LQ-01-61-01_pos.mzXML	retention time (min)	row m/z	adduct (ion identity)	row ID	neutral mass (ion identity)	Compound name (gnps)	adduct (gnps)	MF (sirius)	adduct (sirius)	Compound name (sirius)	NPC#pathway	NPC#superclass	NPC#class	annotation	status
13620	3555.0		6.81	483.3814	['[M-H2O+H]+', '[M+NH4]+', '[M+Na]+']	[11118, 12469, 12659]	460.3917	['(20S)-Panaxadiol', 'not available', 'not available']	['M+H-H2O', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	annotated	not interesting
16421	15460x		6.82	679.3628	['not available']	[15460]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
14985	3557.0		6.82	555.3659	['[M+H]+', '[M+NH4]+', '[M+Na]+']	[14024, 14304, 14388]	532.3769	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	non anotated	not interesting
16507	15546x		6.82	702.515	['not available']	[15546]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15349	3557.0		6.82	555.3659	['[M+H]+', '[M+NH4]+', '[M+Na]+']	[14024, 14304, 14388]	532.3769	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	non anotated	not interesting
15265	3557.0		6.82	555.3659	['[M+H]+', '[M+NH4]+', '[M+Na]+']	[14024, 14304, 14388]	532.3769	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	non anotated	not interesting
15200	14239x		6.82	546.4364	['not available']	[14239]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16455	15494x		6.84	689.4959	['not available']	[15494]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15940	3560.0		6.84	603.4045	['[M+NH4]+', '[M+ACN+K]+']	[14157, 14979]	523.4137	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
15118	3560.0		6.84	603.4045	['[M+NH4]+', '[M+ACN+K]+']	[14157, 14979]	523.4137	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	['not available', 'not available']	non anotated	not interesting
15463	3562.0		6.85	563.4285	['[M+Na]+']	[14502]	540.4393	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16656	15695x		6.86	756.5264	['not available']	[15695]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
