shared name	CAN_name	CAN_molecularFormula	CAN_adduct	CAN_pathway	CAN_superclass	CAN_classe
9308	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8458_Celastraceae_pos_SIRIUS_9308	C35H61NO8	[M-H4O2+H]+			
9310	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8459_Celastraceae_pos_SIRIUS_9310	C33H54O4	[M-H2O+H]+	Fatty acids	Glycerolipids	
892	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/845_Celastraceae_pos_SIRIUS_892	C9H7NO	[M-H4O2+H]+	Amino acids and Peptides	Small peptides	Aminoacids
9311	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8460_Celastraceae_pos_SIRIUS_9311	C20H27NO8	[M-H4O2+H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
9312	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8461_Celastraceae_pos_SIRIUS_9312	C7H4O	[M+H]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	
9313	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8462_Celastraceae_pos_SIRIUS_9313	C33H54O8	[M+H]+	Terpenoids		
9314	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8463_Celastraceae_pos_SIRIUS_9314	C18H36O2	[M+H]+	Fatty acids	Fatty Acids and Conjugates	Straight chain fatty acids
9317	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8464_Celastraceae_pos_SIRIUS_9317	C7H13N2O8PS	[M-H2O+H]+	Carbohydrates		
9319	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8466_Celastraceae_pos_SIRIUS_9319	C21H32O8	[M+H]+	Terpenoids	Sesquiterpenoids	
9320	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8467_Celastraceae_pos_SIRIUS_9320	C14H14O7	[M-H4O2+H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavan-3-ols
9321	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8468_Celastraceae_pos_SIRIUS_9321	C16H16O8	[M-H2O+H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavan-3-ols
9322	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8469_Celastraceae_pos_SIRIUS_9322	C15H31NO3	[M+H3N+H]+	Terpenoids	Sesquiterpenoids	
893	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/846_Celastraceae_pos_SIRIUS_893	C11H18O5	[M-H4O2+H]+	Fatty acids	Fatty Acids and Conjugates	Dicarboxylic acids
9324	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8470_Celastraceae_pos_SIRIUS_9324	C17H33NO10	[M+H3N+H]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
9326	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8471_Celastraceae_pos_SIRIUS_9326	C30H48O2	[M-H4O2+H]+	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids
9327	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8472_Celastraceae_pos_SIRIUS_9327	C31H52O	[M-H2O+H]+	Terpenoids	Triterpenoids	
9328	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8473_Celastraceae_pos_SIRIUS_9328	C35H63NO8	[M+H3N+H]+	Terpenoids	Triterpenoids	Cucurbitane triterpenoids
9330	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8474_Celastraceae_pos_SIRIUS_9330	C37H54O8	[M+H]+	Polyketides	Linear polyketides	Open-chain polyketides
9331	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8475_Celastraceae_pos_SIRIUS_9331	C25H36O2	[M-H2O+H]+	Terpenoids	Steroids	
9332	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8476_Celastraceae_pos_SIRIUS_9332	C30H51NO4	[M+H]+	Terpenoids		
9334	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8477_Celastraceae_pos_SIRIUS_9334	C9H14	[M-H4O2+H]+	Fatty acids	Fatty Acids and Conjugates	Straight chain fatty acids
9335	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8478_Celastraceae_pos_SIRIUS_9335	C7H16NO3	[M+Na]+	Fatty acids	Fatty amides	Primary amides
9336	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8479_Celastraceae_pos_SIRIUS_9336	C14H20	[M+H]+	Terpenoids	Sesquiterpenoids	
894	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/847_Celastraceae_pos_SIRIUS_894	C16H26O6	[M+H]+	Fatty acids		
9337	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8480_Celastraceae_pos_SIRIUS_9337	C32H50O9	[M-H4O2+H]+	Polyketides	Polyethers	Polyether ionophores
9338	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8481_Celastraceae_pos_SIRIUS_9338	C32H52O3	[M-H2O+H]+	Terpenoids	Triterpenoids	Dammarane and Protostane triterpenoids
9339	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8482_Celastraceae_pos_SIRIUS_9339	C12H18O	[M-H2O+H]+	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids
9340	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8483_Celastraceae_pos_SIRIUS_9340	C30H48O4	[M+Na]+	Terpenoids	Triterpenoids	
9342	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8484_Celastraceae_pos_SIRIUS_9342	C22H30O	[M+K]+	Terpenoids	Diterpenoids	Kaurane and Phyllocladane diterpenoids
9344	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8486_Celastraceae_pos_SIRIUS_9344	C20H30O2	[M-H2O+H]+	Terpenoids	Diterpenoids	Kaurane and Phyllocladane diterpenoids
9345	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8487_Celastraceae_pos_SIRIUS_9345	C12H20O2	[M-H4O2+H]+	Fatty acids	Fatty Acids and Conjugates	Dicarboxylic acids
9346	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8488_Celastraceae_pos_SIRIUS_9346	C28H48O2	[M-H2O+H]+	Terpenoids	Steroids	Cholestane steroids
895	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/848_Celastraceae_pos_SIRIUS_895	C16H16O5	[M+H]+	Shikimates and Phenylpropanoids	Coumarins	Simple coumarins
9348	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8490_Celastraceae_pos_SIRIUS_9348	C31H52O2	[M+H]+	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids
9349	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8491_Celastraceae_pos_SIRIUS_9349	C19H36N2O5	[M+K]+	Fatty acids		
9351	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8492_Celastraceae_pos_SIRIUS_9351	C31H52O3	[M+Na]+	Terpenoids		
9352	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8493_Celastraceae_pos_SIRIUS_9352	C21H32O8	[M-H4O2+H]+	Fatty acids		
9353	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8494_Celastraceae_pos_SIRIUS_9353	C25H38O2	[M-H2O+H]+	Terpenoids	Steroids	
9354	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8495_Celastraceae_pos_SIRIUS_9354	C36H66O7	[M-H4O2+H]+	Fatty acids	Glycerolipids	
9355	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8496_Celastraceae_pos_SIRIUS_9355	C23H37NO3S	[M-H4O2+H]+	Amino acids and Peptides	Amino acid glycosides	
9356	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8497_Celastraceae_pos_SIRIUS_9356	C18H24O	[M-H2O+H]+	Terpenoids	Steroids	Estrane steroids
